Country,Year,Milk - Excluding Butter Food,Milk - Excluding Butter Production,Milk - Excluding Butter Import Quantity,Milk - Excluding Butter Export Quantity,Peoples,ElValue
Russian Federation,1992,19874.28,47234.0,956.0,282.0,148725601,14904.3
Russian Federation,1993,20045.22,46521.0,740.0,394.0,148897270,14892.0
Russian Federation,1994,20181.87,42173.0,1226.0,2068.0,148829113,15465.2
Russian Federation,1995,20360.57,39305.0,1300.0,1696.0,148557451,15602.2
Russian Federation,1996,20501.84,35818.0,1550.0,1512.0,148233411,15503.6
Russian Federation,1997,20629.54,34135.0,2401.0,1198.0,147939972,15793.7
Russian Federation,1998,20761.78,33255.0,1684.0,1146.0,147672728,15842.6
Russian Federation,1999,20888.40,32300.0,2011.0,834.0,147336388,16031.4
Russian Federation,2000,20959.27,32276.0,845.0,1590.0,146844839,16983.2
Russian Federation,2001,21037.73,32905.0,1179.0,939.0,146235530,16970.6
Russian Federation,2002,21035.14,33504.0,1122.0,876.0,145590136,17021.5
Russian Federation,2003,21166.37,33373.0,1637.0,547.0,144946723,17036.9
Russian Federation,2004,21210.01,32173.0,2013.0,486.0,144353636,17004.2
Russian Federation,2005,20978.8,31147.0,2420.0,425.0,143800049,16908.4
Russian Federation,2006,20933.38,31436.0,2026.0,415.0,143338669,16769.3
Russian Federation,2007,21025.94,32175.0,2258.0,409.0,143117693,16180.4
Russian Federation,2008,21003.10,32357.0,2460.0,401.0,143086549,15524.1
Russian Federation,2009,21813.47,32565.0,2415.0,352.0,143163643,14830.1
Russian Federation,2010,22499.90,31841.0,3588.0,261.0,143242599,15885.0
Russian Federation,2011,22501.3,31640.0,3044.0,232.0,143364543,15525.1
Russian Federation,2012,22951.96,31750.0,4151.0,337.0,143629362,15278.2
Russian Federation,2013,23248.02,30523.0,5004.0,345.0,143956866,15286.5
Russian Federation,2014,22886.14,30785.0,2577.0,190.0,144285070,15947.4
Russian Federation,2015,23326.70,30791.0,1807.0,193.0,144668389,16756.8
Russian Federation,2016,23968.85,29782.0,1957.0,215.0,145109157,17161.9
Russian Federation,2017,23385.93,30179.0,2073.0,192.0,145452536,18171.1
Russian Federation,2018,23398.05,30606.0,2148.0,175.0,145652293,18797.7
Russian Federation,2019,23325.62,31354.0,2547.0,211.0,145742286,19708.5
Russian Federation,2020,23320.52,32219.0,2707.0,301,145617329,19739.9